"search_timestamp","org_list__auth_type","org_list__address","org_list__domain_ip_cnt","org_list__np_time_list__np_time","org_list__corp_regno","org_list__org_type","org_list__relay_org_code","org_list__industry","org_list__np_time_cnt","org_list__ip_list__ip","org_list__cert_oid","org_list__cert_issuer_dn","org_list__serial_num","org_list__ip_cnt","org_list__domain_ip_list__domain_ip","org_list__domain","org_list__op_type","org_list__is_rcv_org","org_list__org_name","org_list__org_regno","org_list__org_code","rsp_code","org_cnt","rsp_msg"
"","01","(04548) 서울특별시 중구 을지로 170 (을지로4가, 을지트윈타워) 동관6층","","0030:0730","1101115938985","02","ZWAAEA0000","bank","3","","","","","0","","","I","false","케이뱅크은행","826-81-00172","A1AAJB0000","","",""
"","","","","1530:2330","","","","","","","","","","","","","","","","","","","",""
"","","","","0730:1530","","","","","","","","","","","","","","","","","","","",""
"","01","(30114) 세종특별자치시 도움5로 19 (어진동, 우정사업본부) 정부종합청사 8동 우정사업본부 ","1","0200:0500","","01","ZWAAAA0000","bank","3","125.60.0.206","","","101-83-02925","1","125.60.0.206:443","https://mydata.ipostbank.co.kr:443/fmyd_ip","I","true","우정사업본부","101-83-02925","A1AAKA0000","","",""
"","","","","2100:2300","","","","","","","","","","","","","","","","","","","",""
"","","","","1500:1600","","","","","","","","","","","","","","","","","","","",""
"","01","(61470) 광주광역시 동구 제봉로 225 (대인동, 광주은행본점빌딩) 11층 디지털플랫폼부","","0030:0630","2001110396882","02","ZWAAEA0000","bank","1","","","","","0","","","I","true","(주)광주은행","408-86-08817","A1AAMW0000","","",""
"","01","(48400) 부산광역시 남구 문현금융로 40 (문현동, 부산국제금융센터) 23층 ICT전략부","","0300:2330","1101710029402","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","한국주택금융공사","104-81-86269","A1AAOU0000","","",""
"","01","(41200) 대구광역시 동구 신암로 125 (신암동) 한국장학재단","","0700:0900","1101710048072","02","ZWAAEA0000","bank","2","","","","","0","","","I","false","한국장학재단","104-82-10922","A1AAOV0000","","",""
"","","","","1700:2100","","","","","","","","","","","","","","","","","","","",""
"","01","(04527) 서울특별시 중구 세종대로 14 (남대문로5가, 그랜드센트럴(GRANDCENTRAL)) 10층 사이버금융부","","0200:0800","1103710017635","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","서민금융진흥원","711-82-00144","A1AAOW0000","","",""
"","01","(04520) 서울특별시 중구 세종대로 124 (태평로1가, 한국프레스센터) 주식회사 국민행복기금","","0100:0700","1101113962043","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","(주)국민행복기금","220-87-71599","A1AAOY0000","","",""
"","01","(06133) 서울특별시 강남구 테헤란로 131 (역삼동, 한국발명진흥회) 13층","","0100:0700","1101117373098","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","토스뱅크 주식회사","462-86-01671","A1AAPF0000","","",""
"","01","(03184) 서울특별시 종로구 새문안로 50 (신문로2가, 한국씨티은행본점)","","1000:1600","1101110303539","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","한국씨티은행","102-81-14717","A1AAQE0000","","",""
"","01","(58326) 전라남도 나주시 문화로 227 (빛가람동, 한국농수산식품유통공사) 한국농수산식품유통공사","","0130:0730","1142710001826","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","한국농수산식품유통공사","106-82-00944","A1AARC0000","","",""
"","01","(07242) 서울특별시 영등포구 은행로 38 (여의도동, 한국수출입은행빌딩)","","0300:0900","1112350000158","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","한국수출입은행","116-82-01988","A1AARE0000","","",""
"","01","(04520) 서울특별시 중구 세종대로 124 (태평로1가, 한국프레스센터) 6,7,8층","","0900:1800","1103710017619","02","ZWAAEA0000","bank","1","","","","","0","","","I","false","신용회복위원회","201-82-04264","A1AASY0000","","",""
